Ano,Semana,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao,TempMedia,Umidade,VelVento,Infectados
2007,1,20.40,215.10,138.90,48.20,34.60,168.76,387.50,14.80,4
2007,2,5.30,254.80,162.90,51.10,47.30,200.50,413.00,11.27,6
2007,3,0.50,260.90,158.90,54.80,60.90,206.22,364.75,17.37,6
2007,4,0.00,259.30,162.10,66.80,66.00,203.62,396.50,16.01,4
2007,5,2.70,254.40,169.50,41.90,54.10,200.40,470.50,19.37,8
2007,6,58.10,235.90,165.10,34.50,23.60,191.06,534.75,11.90,2
2007,7,75.30,219.80,158.50,27.50,19.50,181.04,612.75,9.07,8
2007,8,84.20,213.20,155.10,32.80,12.70,176.98,605.00,3.70,6
2007,9,24.30,222.50,157.90,50.70,17.10,182.92,586.00,8.03,2
2007,10,22.40,223.90,158.70,44.40,18.10,184.12,583.75,8.53,10
2007,11,39.10,218.10,154.10,35.50,14.60,179.34,596.25,6.10,12
2007,12,88.20,222.00,155.10,40.70,11.00,181.22,612.50,6.37,26
2007,13,18.40,226.60,156.60,52.60,19.60,186.60,535.25,8.97,31
2007,14,36.00,228.50,159.60,53.70,17.30,186.78,555.75,7.77,58
2007,15,36.30,222.40,161.30,43.50,15.60,186.60,570.75,12.60,117
2007,16,80.60,211.70,160.10,27.50,12.30,181.18,627.50,2.60,121
2007,17,59.40,216.40,157.40,36.60,8.30,179.02,628.25,7.37,104
2007,18,44.70,218.90,156.90,49.00,13.00,181.98,592.25,10.20,152
2007,19,1.60,222.20,157.50,47.50,16.30,184.04,570.75,7.97,225
2007,20,6.80,225.60,150.20,60.90,16.90,181.88,549.75,5.57,392
2007,21,20.50,232.00,155.40,55.80,15.40,185.50,554.75,6.37,500
2007,22,5.30,235.70,147.80,68.00,23.20,184.66,509.25,5.90,517
2007,23,5.80,235.00,152.20,51.70,23.90,184.88,541.25,8.20,563
2007,24,0.20,235.50,144.50,57.80,31.60,182.42,484.25,7.47,594
2007,25,9.80,238.30,143.30,58.60,39.00,184.08,430.50,11.00,440
2007,26,5.00,240.00,140.90,58.20,35.00,185.22,440.00,7.58,209
2007,27,0.00,245.90,145.00,67.40,48.60,190.50,449.00,7.85,101
2007,28,0.60,241.80,147.60,53.60,51.80,189.56,492.00,9.85,75
2007,29,2.10,249.50,145.30,64.80,54.30,188.58,489.00,8.75,40
2007,30,0.00,244.30,145.00,56.60,55.20,188.54,480.00,6.10,24
2007,31,0.00,248.60,148.60,66.70,71.60,194.36,385.25,8.98,34
2007,32,0.00,251.30,146.50,69.80,75.50,195.08,379.00,12.93,42
2007,33,0.00,250.70,143.30,68.90,82.60,195.02,351.50,11.20,29
2007,34,0.00,253.00,151.70,68.80,67.30,194.28,393.25,17.60,10
2007,35,0.00,253.40,149.20,70.60,83.00,194.00,371.25,17.14,4
2007,36,0.00,250.20,145.30,62.80,75.40,193.70,372.50,19.03,0
2007,37,0.00,257.10,152.80,73.50,83.00,199.32,348.50,12.53,6
2007,38,0.00,258.10,151.10,65.20,77.50,196.28,379.25,19.03,2
2007,39,0.00,258.50,152.00,70.60,76.30,197.18,354.00,14.64,0
2007,40,0.00,258.20,151.20,69.90,83.10,196.96,351.25,16.73,2
2007,41,0.00,260.00,157.70,71.00,78.50,198.40,378.25,15.53,2
2007,42,0.00,258.60,152.00,65.30,81.60,196.34,387.00,16.23,4
2007,43,0.00,259.20,156.10,73.90,80.60,200.06,364.75,19.00,1
2007,44,1.10,263.00,156.00,65.60,75.10,199.44,384.50,16.80,3
2007,45,0.00,263.80,157.00,74.50,78.30,201.62,359.75,15.90,0
2007,46,0.00,259.80,154.70,71.40,74.20,199.36,392.25,19.57,3
2007,47,0.00,260.20,162.70,61.70,82.70,201.56,387.50,11.57,0
2007,48,0.10,257.10,160.90,57.70,59.60,199.32,413.00,12.58,2
2007,49,3.00,254.50,165.70,56.90,57.40,200.46,456.00,18.15,4
2007,50,1.00,251.80,160.80,43.60,52.10,197.02,516.00,19.75,0
2007,51,43.00,239.60,152.70,53.50,44.10,190.74,537.00,15.20,2
2007,52,0.00,243.70,159.90,58.40,65.50,195.56,462.00,20.55,0
2007,53,1.60,63.80,46.50,8.80,16.80,54.34,141.75,4.98,0
2008,1,15.70,169.80,116.00,28.80,33.30,137.26,344.75,9.80,0
2008,2,5.60,248.10,155.30,53.00,62.30,192.60,475.25,8.87,0
2008,3,20.30,226.30,161.90,27.70,32.90,184.80,584.75,8.83,0
2008,4,56.80,221.90,159.40,34.10,36.70,182.88,582.75,6.20,2
2008,5,38.40,224.40,161.20,41.40,27.30,185.16,591.75,6.13,4
2008,6,28.40,237.50,156.00,66.00,31.40,189.76,499.00,8.77,4
2008,7,21.50,233.80,158.80,45.30,33.20,188.30,545.50,9.17,10
2008,8,57.80,229.60,159.20,40.80,18.20,186.40,570.25,3.90,11
2008,9,8.60,226.30,162.80,43.10,23.00,185.92,568.00,5.60,10
2008,10,99.30,217.20,152.60,32.40,12.90,175.84,610.75,5.10,12
2008,11,13.10,214.80,152.30,40.20,13.10,176.64,611.25,5.03,7
2008,12,36.50,219.50,151.00,48.20,13.10,174.44,602.75,4.57,8
2008,13,115.90,215.50,159.40,28.70,10.70,177.48,625.25,4.57,14
2008,14,118.60,214.20,155.80,36.90,12.70,176.20,620.75,3.97,12
2008,15,149.10,211.00,155.40,35.00,9.10,176.06,638.75,5.50,10
2008,16,21.40,216.10,158.50,44.20,11.20,180.62,613.50,5.33,12
2008,17,30.00,216.40,158.00,41.50,9.70,180.66,614.75,4.97,16
2008,18,66.40,217.40,159.80,42.70,14.40,181.24,604.75,4.93,0
2008,19,100.40,217.90,156.30,44.91,10.00,178.86,607.00,3.90,10
2008,20,5.00,209.50,156.00,29.60,12.30,176.88,599.50,4.17,15
2008,21,15.00,218.10,150.40,57.00,12.90,178.24,583.50,6.93,11
2008,22,40.10,217.90,154.30,52.60,15.80,180.00,572.00,6.37,6
2008,23,0.10,216.50,150.40,42.80,15.90,176.68,573.00,5.07,4
2008,24,2.50,218.80,153.20,37.70,18.80,179.00,566.75,4.50,6
2008,25,0.30,223.80,145.60,53.30,32.90,179.66,509.00,6.33,6
2008,26,0.00,230.80,139.30,47.30,51.70,182.12,474.00,4.13,0
2008,27,3.40,231.10,147.60,44.40,40.50,185.78,499.50,6.85,2
2008,28,0.10,234.60,145.20,55.30,40.20,185.00,450.00,5.15,0
2008,29,0.80,236.10,147.90,51.00,27.40,185.98,470.00,4.80,0
2008,30,0.00,246.60,147.40,60.50,40.70,192.12,487.00,6.00,2
2008,31,1.20,236.10,147.20,45.20,51.10,188.86,466.25,5.02,8
2008,32,19.60,242.00,147.10,54.10,39.80,186.54,458.50,14.70,2
2008,33,4.90,246.70,147.40,69.50,42.40,191.54,405.00,9.70,0
2008,34,0.00,252.10,150.70,62.70,59.40,194.82,414.25,15.00,2
2008,35,0.00,256.00,150.20,63.60,59.50,195.24,449.00,19.00,2
2008,36,0.00,252.40,149.30,68.90,59.10,195.04,458.00,21.75,0
2008,37,0.00,257.40,157.50,71.40,74.30,200.70,426.00,24.25,0
2008,38,0.00,260.30,154.30,73.90,88.90,201.20,413.00,19.50,0
2008,39,0.00,261.90,150.70,69.60,76.60,198.88,431.00,29.15,0
2008,40,0.00,260.10,156.40,62.90,61.80,201.46,499.00,22.00,0
2008,41,0.00,263.00,154.70,66.60,78.70,200.18,364.25,14.83,0
2008,42,0.00,263.20,158.40,70.10,89.30,202.26,371.50,18.37,0
2008,43,0.00,262.60,158.10,73.60,77.70,202.22,363.00,16.07,2
2008,44,0.00,267.30,159.00,73.00,100.10,203.16,356.50,22.27,0
2008,45,0.00,263.00,157.40,65.60,81.30,200.88,398.75,15.93,0
2008,46,9.80,257.10,158.40,63.80,66.20,198.86,395.50,19.33,0
2008,47,0.00,261.20,151.80,67.90,80.50,199.10,393.00,17.07,0
2008,48,0.00,261.20,158.70,64.80,104.80,202.46,386.75,20.67,0
2008,49,0.00,257.70,163.70,58.50,86.00,202.58,433.50,20.38,0
2008,50,0.00,261.80,163.00,63.30,82.50,201.84,465.00,24.00,0
2008,51,0.00,258.20,160.80,59.30,86.60,201.80,481.91,23.50,0
2008,52,0.30,256.20,158.60,54.30,82.20,200.68,483.00,19.75,0
2008,53,0.40,149.60,94.10,32.20,38.50,116.86,256.50,12.08,0
2009,1,1.00,111.10,70.40,25.10,33.80,86.50,202.25,8.17,0
2009,2,2.00,259.50,161.10,54.90,84.90,203.02,395.00,14.23,0
2009,3,0.00,254.60,168.00,52.50,87.30,202.12,414.25,13.50,0
2009,4,126.90,228.30,161.60,32.90,35.30,185.46,579.50,10.13,0
2009,5,45.80,224.60,159.80,41.20,31.80,186.34,553.50,12.37,1
2009,6,23.40,225.10,159.80,47.30,27.80,187.00,551.25,8.10,1
2009,7,6.80,232.10,159.90,58.81,40.20,189.52,521.00,11.17,2
2009,8,41.60,221.50,156.90,38.40,19.60,181.94,593.25,9.20,4
2009,9,79.10,213.90,156.10,27.50,14.00,176.64,632.25,6.73,5
2009,10,50.40,210.40,157.90,25.40,12.00,177.36,623.25,7.80,2
2009,11,54.00,220.20,161.80,37.00,17.40,182.64,584.50,8.17,1
2009,12,60.00,217.00,158.30,36.20,15.30,179.04,606.00,10.10,2
2009,13,90.60,213.00,160.40,27.50,12.30,179.58,627.75,5.93,2
2009,14,89.60,215.00,158.70,38.50,15.20,178.40,609.00,7.33,2
2009,15,91.00,217.50,158.60,36.50,15.10,178.78,612.00,6.87,1
2009,16,13.90,211.00,158.90,28.90,14.30,178.84,600.00,11.87,1
2009,17,136.30,215.60,161.50,32.50,15.90,179.20,604.75,6.70,3
2009,18,48.60,214.60,159.10,35.90,14.10,179.76,604.25,7.33,0
2009,19,89.10,210.90,158.40,34.90,11.70,176.88,605.25,5.10,0
2009,20,45.80,216.20,157.50,41.80,14.40,178.44,592.50,6.17,1
2009,21,78.00,210.40,157.60,26.40,13.50,178.80,611.50,5.33,1
2009,22,54.60,212.90,156.40,34.80,12.80,177.36,600.25,5.53,1
2009,23,47.60,218.20,156.10,54.10,18.20,180.34,592.50,5.77,0
2009,24,6.80,213.30,152.80,46.80,17.70,177.24,581.75,8.60,1
2009,25,7.40,216.90,150.80,49.90,19.20,178.10,575.50,6.13,1
2009,26,24.30,209.40,147.60,42.90,16.30,174.54,576.50,6.87,1
2009,27,0.20,216.70,144.70,61.40,27.50,174.40,573.66,4.13,1
2009,28,12.70,213.80,145.40,40.50,15.50,173.20,600.00,3.00,0
2009,29,11.90,218.70,149.60,43.50,12.20,177.66,596.00,3.10,0
2009,30,15.20,216.60,149.30,50.50,7.50,176.16,598.00,3.50,0
2009,31,0.00,233.70,138.20,72.50,36.10,178.20,547.75,3.10,1
2009,32,7.20,233.90,139.90,65.30,51.30,179.86,504.25,12.47,0
2009,33,3.00,237.60,142.40,60.30,39.20,183.66,464.75,7.33,0
2009,34,0.00,247.40,138.80,71.60,61.30,187.18,451.75,16.43,0
2009,35,8.60,239.50,149.30,54.30,68.50,185.36,479.75,11.40,0
2009,36,0.00,252.40,140.60,72.40,84.10,191.22,412.25,14.97,0
2009,37,0.00,253.20,142.80,69.90,77.10,191.58,408.75,15.33,0
2009,38,0.00,255.50,157.00,61.80,65.60,195.80,438.50,21.00,1
2009,39,0.30,256.60,151.60,64.90,77.50,195.04,396.50,17.77,1
2009,40,0.00,259.70,149.20,75.00,90.10,198.22,377.00,24.73,0
2009,41,0.00,257.30,150.90,65.30,88.10,194.28,407.25,17.80,0
2009,42,0.00,256.60,147.10,64.80,65.30,193.70,408.25,16.98,1
2009,43,0.00,260.40,151.70,60.80,62.40,194.16,466.00,14.60,0
2009,44,0.00,220.80,127.20,46.00,50.42,166.60,354.50,18.07,0
2009,45,0.00,261.40,151.90,68.20,84.20,198.96,392.00,21.83,0
2009,46,0.00,258.90,158.20,61.50,83.40,199.04,406.25,22.67,0
2009,47,0.00,254.80,153.10,59.51,85.20,196.68,398.25,17.90,0
2009,48,0.00,258.70,147.50,66.90,84.20,196.60,395.75,22.83,0
2009,49,0.00,257.60,157.10,49.00,90.40,200.32,426.25,20.08,0
2009,50,0.70,257.00,156.90,54.00,85.30,200.34,470.00,24.25,0
2009,51,0.60,254.60,159.20,57.50,70.00,200.02,466.00,25.75,0
2009,52,0.00,256.50,164.80,49.20,76.70,203.82,428.00,24.00,2
2009,53,0.60,180.50,118.40,28.90,48.60,143.50,310.50,17.67,0
2010,1,0.40,65.20,48.00,3.90,14.10,54.00,139.25,3.70,0
2010,2,1.60,244.10,156.70,33.70,58.90,194.02,461.25,12.53,0
2010,3,10.70,249.80,157.50,46.70,55.60,196.56,437.00,12.63,2
2010,4,57.40,249.10,158.10,56.40,56.60,197.04,437.00,16.07,0
2010,5,104.60,238.90,162.10,48.30,34.80,190.44,531.75,12.53,0
2010,6,1.90,243.90,164.60,59.50,46.20,199.62,424.25,18.40,2
2010,7,33.70,226.80,158.50,27.80,27.40,186.82,560.50,8.23,0
2010,8,30.70,240.40,159.50,61.70,31.80,194.20,471.25,16.00,0
2010,9,0.00,257.20,162.60,63.40,56.00,202.12,432.00,12.73,0
2010,10,1.10,263.10,161.70,66.10,63.60,202.98,395.75,16.77,2
2010,11,0.00,262.40,167.40,59.40,65.30,203.98,429.50,14.60,0
2010,12,25.70,257.10,162.90,54.30,71.30,200.68,440.50,16.53,0
2010,13,16.50,239.00,166.00,35.80,34.70,193.34,511.50,9.83,4
2010,14,92.50,232.70,165.40,40.00,27.70,188.56,580.50,7.07,0
2010,15,15.30,227.80,165.80,42.20,23.50,189.92,557.25,7.57,0
2010,16,3.20,232.20,161.90,51.10,24.40,190.68,505.50,11.37,0
2010,17,40.50,225.70,164.60,42.10,18.90,187.44,562.25,7.10,0
2010,18,19.00,235.90,158.00,51.60,32.20,188.92,524.50,9.57,0
2010,19,23.90,230.60,161.60,47.80,20.50,187.90,561.50,6.27,2
2010,20,1.30,239.60,158.30,59.80,30.00,192.50,482.00,11.03,0
2010,21,0.00,252.50,154.70,65.20,55.90,196.86,438.50,12.37,0
2010,22,13.90,252.40,162.10,58.00,51.50,199.28,441.00,14.63,0
2010,23,69.50,241.10,161.00,52.80,52.30,191.62,511.25,10.23,0
2010,24,0.00,241.80,149.80,69.30,51.80,191.88,432.50,10.57,0
2010,25,3.60,240.30,153.30,52.80,58.00,194.62,417.25,11.07,0
2010,26,0.00,252.10,145.60,68.00,72.70,195.32,383.75,13.10,0
2010,27,0.00,250.20,151.10,57.10,77.20,198.16,403.00,11.75,0
2010,28,8.80,253.00,150.40,58.70,81.10,198.28,440.00,10.40,2
2010,29,0.00,249.10,153.90,53.10,81.10,197.30,460.00,9.45,1
2010,30,0.00,251.80,152.80,56.40,80.40,198.62,453.00,7.35,0
2010,31,0.00,256.70,150.80,67.40,98.20,200.80,451.00,8.00,6
2010,32,0.00,256.50,155.70,62.00,93.30,199.00,442.25,14.43,0
2010,33,0.00,254.70,145.20,67.80,95.20,196.14,423.50,15.80,0
2010,34,0.00,256.20,147.80,72.10,97.40,196.30,458.50,13.17,0
2010,35,0.00,261.90,157.60,71.50,98.00,200.56,438.50,17.17,3
2010,36,0.00,258.60,150.70,70.00,97.10,199.32,427.00,15.83,8
2010,37,0.00,260.20,152.90,72.30,96.00,197.76,425.75,19.50,8
2010,38,0.00,263.90,152.20,73.50,106.60,201.02,399.75,17.73,2
2010,39,0.00,263.10,151.80,73.50,99.00,204.40,355.00,21.50,12
2010,40,0.00,265.90,157.40,74.40,104.10,200.66,380.75,20.40,6
2010,41,0.00,270.10,153.30,73.40,99.40,200.96,361.00,19.17,5
2010,42,0.00,262.30,156.80,65.10,100.00,201.16,359.25,18.17,6
2010,43,9.90,256.50,161.40,51.10,82.90,197.90,424.75,15.27,16
2010,44,0.00,260.90,165.60,58.90,73.90,200.54,412.75,10.80,7
2010,45,0.00,266.30,160.70,72.90,95.30,203.84,366.25,24.00,2
2010,46,0.00,268.80,156.30,74.20,100.20,205.88,356.00,17.67,2
2010,47,0.00,260.40,165.00,57.70,89.30,202.86,399.00,20.73,6
2010,48,0.00,262.30,158.30,63.90,91.10,201.36,385.25,21.90,7
2010,49,0.00,261.00,164.30,59.20,93.50,204.80,404.00,23.75,8
2010,50,0.00,255.50,163.20,54.10,81.50,200.54,458.00,25.75,2
2010,51,25.20,230.40,158.90,20.00,43.40,186.44,565.00,12.50,4
2010,52,9.60,247.30,157.40,57.00,64.00,195.42,495.00,19.25,6
2010,53,24.40,211.60,138.90,54.90,46.50,168.06,415.75,17.25,4
2011,1,0.00,35.90,20.80,10.90,11.20,28.08,52.75,3.00,0
2011,2,54.10,234.60,160.70,47.20,51.00,189.80,493.50,13.90,7
2011,3,44.00,219.00,152.70,40.80,30.60,181.04,545.50,9.27,6
2011,4,29.20,209.00,153.30,18.80,20.40,173.88,591.00,10.73,8
2011,5,52.30,212.00,151.10,38.00,18.50,176.90,588.00,7.90,9
2011,6,34.40,227.40,159.80,57.00,21.50,185.00,550.00,13.43,15
2011,7,2.50,225.30,156.70,47.50,18.80,185.26,535.75,8.13,9
2011,8,28.30,218.40,157.80,34.30,17.60,179.22,578.75,8.63,7
2011,9,59.70,219.40,154.60,43.20,13.30,177.90,630.25,7.23,7
2011,10,70.50,215.90,155.60,43.10,14.00,176.96,589.75,6.33,13
2011,11,40.70,213.30,154.20,35.00,8.30,177.88,610.25,3.77,6
2011,12,71.80,218.80,153.50,46.70,6.80,178.74,596.00,7.17,6
2011,13,3.80,224.00,155.10,54.60,7.50,182.12,574.00,7.97,1
2011,14,44.80,219.30,155.60,40.30,5.30,180.20,602.75,7.60,1
2011,15,100.50,220.10,152.30,49.60,4.10,179.06,577.75,6.33,0
