city,year,weekofyear,Infectados
sb,2007,1,4
sb,2007,2,6
sb,2007,3,6
sb,2007,4,4
sb,2007,5,8
sb,2007,6,2
sb,2007,7,8
sb,2007,8,6
sb,2007,9,2
sb,2007,10,10
sb,2007,11,12
sb,2007,12,26
sb,2007,13,31
sb,2007,14,58
sb,2007,15,117
sb,2007,16,121
sb,2007,17,104
sb,2007,18,152
sb,2007,19,225
sb,2007,20,392
sb,2007,21,500
sb,2007,22,517
sb,2007,23,563
sb,2007,24,594
sb,2007,25,440
sb,2007,26,209
sb,2007,27,101
sb,2007,28,75
sb,2007,29,40
sb,2007,30,24
sb,2007,31,34
sb,2007,32,42
sb,2007,33,29
sb,2007,34,10
sb,2007,35,4
sb,2007,36,0
sb,2007,37,6
sb,2007,38,2
sb,2007,39,0
sb,2007,40,2
sb,2007,41,2
sb,2007,42,4
sb,2007,43,1
sb,2007,44,3
sb,2007,45,0
sb,2007,46,3
sb,2007,47,0
sb,2007,48,2
sb,2007,49,4
sb,2007,50,0
sb,2007,51,2
sb,2007,52,0
sb,2008,1,0
sb,2008,2,0
sb,2008,3,2
sb,2008,4,4
sb,2008,5,4
sb,2008,6,10
sb,2008,7,11
sb,2008,8,10
sb,2008,9,12
sb,2008,10,7
sb,2008,11,8
sb,2008,12,14
sb,2008,13,12
sb,2008,14,10
sb,2008,15,12
sb,2008,16,16
sb,2008,17,0
sb,2008,18,10
sb,2008,19,15
sb,2008,20,11
sb,2008,21,6
sb,2008,22,4
sb,2008,23,6
sb,2008,24,6
sb,2008,25,0
sb,2008,26,2
sb,2008,27,0
sb,2008,28,0
sb,2008,29,2
sb,2008,30,8
sb,2008,31,2
sb,2008,32,0
sb,2008,33,2
sb,2008,34,2
sb,2008,35,0
sb,2008,36,0
sb,2008,37,0
sb,2008,38,0
sb,2008,39,0
sb,2008,40,0
sb,2008,41,0
sb,2008,42,2
sb,2008,43,0
sb,2008,44,0
sb,2008,45,0
sb,2008,46,0
sb,2008,47,0
sb,2008,48,0
sb,2008,49,0
sb,2008,50,0
sb,2008,51,0
sb,2008,52,0
sb,2009,1,0
sb,2009,2,1
sb,2009,3,1
sb,2009,4,2
sb,2009,5,4
sb,2009,6,5
sb,2009,7,2
sb,2009,8,1
sb,2009,9,2
sb,2009,10,2
sb,2009,11,2
sb,2009,12,1
sb,2009,13,1
sb,2009,14,3
sb,2009,15,0
sb,2009,16,0
sb,2009,17,1
sb,2009,18,1
sb,2009,19,1
sb,2009,20,0
sb,2009,21,1
sb,2009,22,1
sb,2009,23,1
sb,2009,24,1
sb,2009,25,0
sb,2009,26,0
sb,2009,27,0
sb,2009,28,1
sb,2009,29,0
sb,2009,30,0
sb,2009,31,0
sb,2009,32,0
sb,2009,33,0
sb,2009,34,0
sb,2009,35,1
sb,2009,36,1
sb,2009,37,0
sb,2009,38,0
sb,2009,39,1
sb,2009,40,0
sb,2009,41,0
sb,2009,42,0
sb,2009,43,0
sb,2009,44,0
sb,2009,45,0
sb,2009,46,0
sb,2009,47,0
sb,2009,48,0
sb,2009,49,2
sb,2009,50,0
sb,2009,51,0
sb,2009,52,0
sb,2010,1,0
sb,2010,2,2
sb,2010,3,0
sb,2010,4,0
sb,2010,5,2
sb,2010,6,0
sb,2010,7,0
sb,2010,8,0
sb,2010,9,2
sb,2010,10,0
sb,2010,11,0
sb,2010,12,4
sb,2010,13,0
sb,2010,14,0
sb,2010,15,0
sb,2010,16,0
sb,2010,17,0
sb,2010,18,2
sb,2010,19,0
sb,2010,20,0
sb,2010,21,0
sb,2010,22,0
sb,2010,23,0
sb,2010,24,0
sb,2010,25,0
sb,2010,26,0
sb,2010,27,2
sb,2010,28,1
sb,2010,29,0
sb,2010,30,6
sb,2010,31,0
sb,2010,32,0
sb,2010,33,0
sb,2010,34,3
sb,2010,35,8
sb,2010,36,8
sb,2010,37,2
sb,2010,38,12
sb,2010,39,6
sb,2010,40,5
sb,2010,41,6
sb,2010,42,16
sb,2010,43,7
sb,2010,44,2
sb,2010,45,2
sb,2010,46,6
sb,2010,47,7
sb,2010,48,8
sb,2010,49,2
sb,2010,50,4
sb,2010,51,6
sb,2010,52,4
sb,2011,1,7
sb,2011,2,6
sb,2011,3,8
sb,2011,4,9
sb,2011,5,15
sb,2011,6,9
sb,2011,7,7
sb,2011,8,7
sb,2011,9,13
sb,2011,10,6
sb,2011,11,6
sb,2011,12,1
sb,2011,13,1
sb,2011,14,0
sb,2011,15,0
sb,2011,16,1
sb,2011,17,0
sb,2011,18,0
sb,2011,19,0
sb,2011,20,0
sb,2011,21,0
sb,2011,22,0
sb,2011,23,0
sb,2011,24,0
sb,2011,25,0
sb,2011,26,0
sb,2011,27,0
sb,2011,28,0
sb,2011,29,0
sb,2011,30,0
sb,2011,31,0
sb,2011,32,0
sb,2011,33,0
sb,2011,34,0
sb,2011,35,0
sb,2011,36,0
sb,2011,37,0
sb,2011,38,0
sb,2011,39,0
sb,2011,40,0
sb,2011,41,0
sb,2011,42,0
sb,2011,43,0
sb,2011,44,0
sb,2011,45,0
sb,2011,46,0
sb,2011,47,0
sb,2011,48,0
sb,2011,49,0
sb,2011,50,0
sb,2011,51,1
sb,2011,52,1
sb,2012,1,1
sb,2012,2,0
sb,2012,3,1
sb,2012,4,0
sb,2012,5,0
sb,2012,6,1
sb,2012,7,0
sb,2012,8,2
sb,2012,9,2
sb,2012,10,0
sb,2012,11,0
sb,2012,12,1
sb,2012,13,0
sb,2012,14,0
sb,2012,15,2
sb,2012,16,2
sb,2012,17,0
sb,2012,18,2
sb,2012,19,1
sb,2012,20,1
sb,2012,21,2
sb,2012,22,0
sb,2012,23,0
sb,2012,24,0
sb,2012,25,0
sb,2012,26,0
sb,2012,27,0
sb,2012,28,2
sb,2012,29,1
sb,2012,30,0
sb,2012,31,1
sb,2012,32,0
sb,2012,33,1
sb,2012,34,0
sb,2012,35,0
sb,2012,36,0
sb,2012,37,0
sb,2012,38,0
sb,2012,39,0
sb,2012,40,0
sb,2012,41,0
sb,2012,42,1
sb,2012,43,0
sb,2012,44,0
sb,2012,45,0
sb,2012,46,0
sb,2012,47,0
sb,2012,48,0
sb,2012,49,0
sb,2012,50,0
sb,2012,51,0
sb,2012,52,0
sb,2013,1,0
sb,2013,2,0
sb,2013,3,0
sb,2013,4,0
sb,2013,5,0
sb,2013,6,0
sb,2013,7,0
sb,2013,8,0
sb,2013,9,0
sb,2013,10,0
sb,2013,11,0
sb,2013,12,0
sb,2013,13,1
sb,2013,14,2
sb,2013,15,0
sb,2013,16,1
sb,2013,17,0
sb,2013,18,0
sb,2013,19,0
sb,2013,20,0
sb,2013,21,0
sb,2013,22,0
sb,2013,23,0
sb,2013,24,0
sb,2013,25,0
sb,2013,26,1
sb,2013,27,0
sb,2013,28,0
sb,2013,29,1
sb,2013,30,2
sb,2013,31,3
sb,2013,32,1
sb,2013,33,2
sb,2013,34,0
sb,2013,35,1
sb,2013,36,0
sb,2013,37,0
sb,2013,38,1
sb,2013,39,0
sb,2013,40,1
sb,2013,41,1
sb,2013,42,0
sb,2013,43,0
sb,2013,44,0
sb,2013,45,0
sb,2013,46,0
sb,2013,47,0
sb,2013,48,0
sb,2013,49,0
sb,2013,50,0
sb,2013,51,0
sb,2013,52,0
sb,2014,1,0
sb,2014,2,1
sb,2014,3,0
sb,2014,4,0
sb,2014,5,0
sb,2014,6,0
sb,2014,7,0
sb,2014,8,1
sb,2014,9,1
sb,2014,10,0
sb,2014,11,2
sb,2014,12,0
sb,2014,13,1
sb,2014,14,1
sb,2014,15,1
sb,2014,16,1
sb,2014,17,3
sb,2014,18,4
sb,2014,19,6
sb,2014,20,3
sb,2014,21,10
sb,2014,22,13
sb,2014,23,27
sb,2014,24,17
sb,2014,25,40
sb,2014,26,46
sb,2014,27,68
sb,2014,28,54
sb,2014,29,42
sb,2014,30,34
sb,2014,31,19
sb,2014,32,10
sb,2014,33,11
sb,2014,34,6
sb,2014,35,3
sb,2014,36,6
sb,2014,37,4
sb,2014,38,2
sb,2014,39,1
sb,2014,40,1
sb,2014,41,0
sb,2014,42,2
sb,2014,43,0
sb,2014,44,0
sb,2014,45,1
sb,2014,46,1
sb,2014,47,1
sb,2014,48,2
sb,2014,49,2
sb,2014,50,0
sb,2014,51,1
sb,2014,52,0
sb,2015,1,0
sb,2015,2,3
sb,2015,3,1
sb,2015,4,1
sb,2015,5,1
sb,2015,6,2
sb,2015,7,0
sb,2015,8,2
sb,2015,9,1
sb,2015,10,1
sb,2015,11,0
sb,2015,12,0
sb,2015,13,4
sb,2015,14,1
sb,2015,15,0
sb,2015,16,3
sb,2015,17,3
sb,2015,18,1
sb,2015,19,3
sb,2015,20,9
sb,2015,21,4
sb,2015,22,13
sb,2015,23,9
sb,2015,24,12
sb,2015,25,9
sb,2015,26,8
sb,2015,27,4
sb,2015,28,0
sb,2015,29,0
sb,2015,30,0
sb,2015,31,0
sb,2015,32,0
sb,2015,33,0
sb,2015,34,0
sb,2015,35,0
sb,2015,36,0
sb,2015,37,0
sb,2015,38,0
sb,2015,39,0
sb,2015,40,0
sb,2015,41,0
sb,2015,42,0
sb,2015,43,0
sb,2015,44,0
sb,2015,45,0
sb,2015,46,0
sb,2015,47,0
sb,2015,48,0
sb,2015,49,0
sb,2015,50,0
sb,2015,51,0
sb,2015,52,2
sb,2016,1,5
sb,2016,2,2
sb,2016,3,6
sb,2016,4,7
sb,2016,5,6
sb,2016,6,10
sb,2016,7,14
sb,2016,8,11
sb,2016,9,4
sb,2016,10,7
sb,2016,11,17
sb,2016,12,22
sb,2016,13,42
sb,2016,14,36
sb,2016,15,50
sb,2016,16,30
sb,2016,17,33
sb,2016,18,49
sb,2016,19,36
sb,2016,20,34
sb,2016,21,27
sb,2016,22,53
sb,2016,23,44
sb,2016,24,25
sb,2016,25,32
sb,2016,26,27
sb,2016,27,25
sb,2016,28,10
sb,2016,29,9
sb,2016,30,4
sb,2016,31,5
sb,2016,32,3
sb,2016,33,4
sb,2016,34,5
sb,2016,35,1
sb,2016,36,0
sb,2016,37,3
sb,2016,38,0
sb,2016,39,0
sb,2016,40,0
sb,2016,41,3
sb,2016,42,4
sb,2016,43,2
sb,2016,44,1
sb,2016,45,1
sb,2016,46,1
sb,2016,47,3
sb,2016,48,0
sb,2016,49,2
sb,2016,50,1
sb,2016,51,4
sb,2016,52,0
sb,2017,1,0
sb,2017,2,0
sb,2017,3,0
sb,2017,4,0
sb,2017,5,0
sb,2017,6,0
sb,2017,7,1
sb,2017,8,0
sb,2017,9,0
sb,2017,10,1
sb,2017,11,0
sb,2017,12,0
sb,2017,13,0
sb,2017,14,0
sb,2017,15,0
sb,2017,16,0
sb,2017,17,1
sb,2017,18,1
sb,2017,19,1
sb,2017,20,0
sb,2017,21,0
sb,2017,22,1
sb,2017,23,0
sb,2017,24,1
sb,2017,25,0
sb,2017,26,0
sb,2017,27,0
sb,2017,28,1
sb,2017,29,0
sb,2017,30,1
sb,2017,31,0
sb,2017,32,0
sb,2017,33,0
sb,2017,34,0
sb,2017,35,0
sb,2017,36,0
sb,2017,37,0
sb,2017,38,0
sb,2017,39,0
sb,2017,40,0
sb,2017,41,0
sb,2017,42,0
sb,2017,43,0
sb,2017,44,0
sb,2017,45,0
sb,2017,46,0
sb,2017,47,0
sb,2017,48,0
sb,2017,49,0
sb,2017,50,0
sb,2017,51,0
sb,2017,52,1
sb,2018,1,0
sb,2018,2,0
sb,2018,3,0
sb,2018,4,0
sb,2018,5,1
sb,2018,6,0
sb,2018,7,0
sb,2018,8,0
sb,2018,9,0
sb,2018,10,0
sb,2018,11,1
sb,2018,12,0
sb,2018,13,0
sb,2018,14,0
sb,2018,15,0
sb,2018,16,0
sb,2018,17,0
sb,2018,18,0
sb,2018,19,0
sb,2018,20,0
sb,2018,21,0
sb,2018,22,0
sb,2018,23,0
sb,2018,24,0
sb,2018,25,0
sb,2018,26,0
sb,2018,27,0
sb,2018,28,0
sb,2018,29,0
sb,2018,30,0
sb,2018,31,0
sb,2018,32,0
sb,2018,33,0
sb,2018,34,0
sb,2018,35,0
sb,2018,36,0
sb,2018,37,0
sb,2018,38,1
sb,2018,39,0
sb,2018,40,0
sb,2018,41,0
sb,2018,42,0
sb,2018,43,0
sb,2018,44,0
sb,2018,45,0
sb,2018,46,0
sb,2018,47,1
sb,2018,48,0
sb,2018,49,0
sb,2018,50,0
sb,2018,51,1
sb,2018,52,0
sb,2019,1,1
sb,2019,2,0
sb,2019,3,0
sb,2019,4,0
sb,2019,5,0
sb,2019,6,1
sb,2019,7,0
sb,2019,8,0
sb,2019,9,0
sb,2019,10,1
sb,2019,11,0
sb,2019,12,0
sb,2019,13,1
sb,2019,14,0
sb,2019,15,1
sb,2019,16,0
sb,2019,17,2
sb,2019,18,0
sb,2019,19,0
sb,2019,20,2
sb,2019,21,2
sb,2019,22,0
sb,2019,23,2
sb,2019,24,2
sb,2019,25,0
sb,2019,26,0
sb,2019,27,2
sb,2019,28,0
sb,2019,29,1
sb,2019,30,1
sb,2019,31,13
sb,2019,32,16
sb,2019,33,13
sb,2019,34,7
sb,2019,35,13
sb,2019,36,6
sb,2019,37,3
sb,2019,38,2
sb,2019,39,0
sb,2019,40,2
sb,2019,41,0
sb,2019,42,0
sb,2019,43,0
sb,2019,44,0
sb,2019,45,0
sb,2019,46,0
sb,2019,47,0
sb,2019,48,0
sb,2019,49,0
sb,2019,50,0
sb,2019,51,0
sb,2019,52,0
